"sample","outcome_label","outcome_value","prediction","prob0","prob1","biomarkers"
"contact43","stoolneg",0,0,0.61097383305549,0.38902616694451,"vibogaw"
"contact43","stoolneg",0,0,0.626141922946335,0.373858077053665,"Ogvctiter2_new_titers"
"contact2","stoolneg",1,1,0.485553319324296,0.514446680675704,"Ogvctiter2_new_titers"
"contact2","stoolneg",1,1,0.219844251968363,0.780155748031637,"vibogaw"
"contact44","stoolneg",1,1,0.203491627524522,0.796508372475478,"Ogvctiter2_new_titers"
"contact44","stoolneg",1,1,0.188067815049587,0.811932184950413,"vibogaw"
"contact45","stoolneg",1,0,0.521247752136066,0.478752247863934,"vibogaw"
"contact45","stoolneg",1,1,0.379004857182721,0.620995142817279,"Ogvctiter2_new_titers"
"contact46","stoolneg",0,1,0.489158328857246,0.510841671142754,"Ogvctiter2_new_titers"
"contact46","stoolneg",0,1,0.396703091060986,0.603296908939014,"vibogaw"
"contact47","stoolneg",1,1,0.348817084592395,0.651182915407605,"vibogaw"
"contact47","stoolneg",1,1,0.447721573107835,0.552278426892165,"Ogvctiter2_new_titers"
"contact48","stoolneg",1,1,0.472902041942407,0.527097958057594,"vibogaw"
"contact48","stoolneg",1,1,0.278506579948259,0.721493420051741,"Ogvctiter2_new_titers"
"contact49","stoolneg",0,0,0.58640370495088,0.41359629504912,"vibogaw"
"contact49","stoolneg",0,0,0.609425297780136,0.390574702219864,"Ogvctiter2_new_titers"
"contact50","stoolneg",1,1,0.404110517316361,0.595889482683638,"vibogaw"
"contact50","stoolneg",1,1,0.296915483463045,0.703084516536954,"Ogvctiter2_new_titers"
"contact51","stoolneg",0,1,0.404939647577225,0.595060352422774,"vibogaw"
"contact51","stoolneg",0,1,0.314212796530095,0.685787203469905,"Ogvctiter2_new_titers"
"contact52","stoolneg",1,1,0.451308905409177,0.548691094590823,"vibogaw"
"contact52","stoolneg",1,1,0.481005488598949,0.518994511401051,"Ogvctiter2_new_titers"
"contact53","stoolneg",1,1,0.488643887042611,0.511356112957389,"vibogaw"
"contact53","stoolneg",1,1,0.445953469114305,0.554046530885695,"Ogvctiter2_new_titers"
"contact54","stoolneg",1,1,0.155732986578265,0.844267013421735,"Ogvctiter2_new_titers"
"contact54","stoolneg",1,1,0.142085409645394,0.857914590354606,"vibogaw"
"contact55","stoolneg",1,1,0.414079299016257,0.585920700983743,"vibogaw"
"contact55","stoolneg",1,1,0.369131242166846,0.630868757833154,"Ogvctiter2_new_titers"
"contact56","stoolneg",1,1,0.209366216785451,0.790633783214549,"Ogvctiter2_new_titers"
